date,time,side,entry,sl,tp,result_R
2025-01-02,2025-01-02 08:15:00+00:00,short,2634.935,2637.298,2630.2090000000003,0.0
2025-01-03,2025-01-03 07:15:00+00:00,long,2655.898,2654.598,2658.4980000000005,-1.0
2025-01-06,2025-01-06 07:05:00+00:00,long,2631.875,2630.165,2635.295,-1.0
2025-01-08,2025-01-08 08:05:00+00:00,short,2651.164,2653.825,2645.842000000001,-1.0
2025-01-09,2025-01-09 08:00:00+00:00,short,2662.164,2664.718,2657.056000000001,-1.0
2025-01-10,2025-01-10 07:35:00+00:00,short,2675.685,2679.575,2667.905,-1.0
2025-01-13,2025-01-13 10:10:00+00:00,long,2680.565,2678.089,2685.5170000000003,-1.0
2025-01-14,2025-01-14 09:50:00+00:00,long,2666.975,2664.245,2672.435,0.0
2025-01-16,2025-01-16 08:30:00+00:00,short,2700.999,2704.195,2694.606999999999,0.0
2025-01-17,2025-01-17 07:55:00+00:00,long,2709.845,2707.525,2714.484999999999,0.0
2025-01-20,2025-01-20 07:15:00+00:00,short,2706.845,2709.418,2701.698999999999,0.0
2025-01-21,2025-01-21 08:05:00+00:00,short,2726.609,2730.535,2718.757,2.0
2025-01-22,2025-01-22 10:00:00+00:00,short,2758.125,2759.878,2754.6189999999997,-1.0
2025-01-23,2025-01-23 10:50:00+00:00,long,2751.095,2747.705,2757.8749999999995,-1.0
2025-01-24,2025-01-24 09:40:00+00:00,short,2772.905,2778.215,2762.2850000000003,-1.0
2025-01-27,2025-01-27 08:15:00+00:00,long,2754.305,2750.685,2761.5449999999996,2.0
2025-01-28,2025-01-28 08:20:00+00:00,long,2737.955,2736.235,2741.3949999999995,-1.0
2025-01-29,2025-01-29 08:05:00+00:00,long,2760.125,2758.015,2764.3450000000003,2.0
2025-01-31,2025-01-31 07:10:00+00:00,long,2793.915,2792.125,2797.495,2.0
2025-02-03,2025-02-03 09:20:00+00:00,short,2795.058,2798.715,2787.7439999999997,-1.0
2025-02-04,2025-02-04 07:10:00+00:00,long,2812.815,2811.275,2815.895,-1.0
2025-02-05,2025-02-05 07:05:00+00:00,short,2855.475,2861.415,2843.595,-1.0
2025-02-07,2025-02-07 09:20:00+00:00,short,2868.145,2871.395,2861.645,0.0
2025-02-11,2025-02-11 09:10:00+00:00,long,2911.245,2904.015,2925.705,-1.0
2025-02-12,2025-02-12 10:55:00+00:00,long,2884.695,2881.675,2890.735,-1.0
2025-02-14,2025-02-14 07:05:00+00:00,short,2932.705,2935.215,2927.6849999999995,-1.0
2025-02-17,2025-02-17 09:25:00+00:00,short,2904.345,2907.215,2898.604999999999,2.0
2025-02-19,2025-02-19 08:45:00+00:00,short,2938.065,2940.985,2932.225,-1.0
2025-02-21,2025-02-21 09:05:00+00:00,long,2925.805,2921.835,2933.7449999999994,2.0
2025-02-24,2025-02-24 08:00:00+00:00,short,2943.795,2945.575,2940.2350000000006,2.0
2025-02-25,2025-02-25 07:10:00+00:00,long,2937.765,2933.885,2945.524999999999,-1.0
2025-02-26,2025-02-26 07:45:00+00:00,long,2914.245,2910.115,2922.505,-1.0
2025-02-27,2025-02-27 07:50:00+00:00,long,2893.405,2887.295,2905.6250000000005,-1.0
2025-02-28,2025-02-28 08:10:00+00:00,long,2859.025,2855.785,2865.5050000000006,-1.0
2025-03-03,2025-03-03 08:35:00+00:00,long,2861.445,2857.985,2868.3650000000002,2.0
2025-03-05,2025-03-05 07:10:00+00:00,short,2918.475,2920.705,2914.015,2.0
2025-03-06,2025-03-06 07:40:00+00:00,long,2914.475,2910.235,2922.9549999999995,-1.0
2025-03-07,2025-03-07 07:30:00+00:00,short,2911.795,2914.225,2906.9350000000004,-1.0
2025-03-10,2025-03-10 08:00:00+00:00,long,2908.135,2903.125,2918.1550000000007,-1.0
2025-03-11,2025-03-11 07:15:00+00:00,short,2899.715,2902.955,2893.2350000000006,-1.0
2025-03-12,2025-03-12 07:10:00+00:00,long,2911.688,2909.195,2916.674,-1.0
2025-03-13,2025-03-13 07:05:00+00:00,long,2936.295,2934.935,2939.0150000000003,-1.0
2025-03-14,2025-03-14 07:30:00+00:00,long,2983.548,2980.0,2990.6439999999993,2.0
2025-03-18,2025-03-18 07:25:00+00:00,short,3015.365,3019.325,3007.4449999999997,-1.0
2025-03-19,2025-03-19 08:50:00+00:00,long,3028.048,3026.175,3031.793999999999,-1.0
2025-03-20,2025-03-20 07:30:00+00:00,long,3046.638,3043.668,3052.5779999999995,-1.0
2025-03-24,2025-03-24 07:15:00+00:00,short,3025.375,3026.975,3022.175,-1.0
2025-03-25,2025-03-25 09:10:00+00:00,short,3020.335,3022.115,3016.7750000000005,-1.0
2025-03-26,2025-03-26 07:15:00+00:00,short,3026.195,3027.955,3022.6750000000006,-1.0
2025-03-28,2025-03-28 07:35:00+00:00,short,3080.455,3083.948,3073.469,2.0
2025-03-31,2025-03-31 07:35:00+00:00,short,3119.645,3123.405,3112.1249999999995,-1.0
2025-04-03,2025-04-03 07:30:00+00:00,long,3124.628,3121.225,3131.4340000000007,-1.0
2025-04-04,2025-04-04 09:05:00+00:00,long,3089.595,3082.475,3103.8349999999996,2.0
2025-04-08,2025-04-08 07:40:00+00:00,short,3005.792,3009.925,2997.5259999999994,0.0
2025-04-11,2025-04-11 08:30:00+00:00,short,3219.075,3224.275,3208.6749999999993,0.0
2025-04-17,2025-04-17 07:40:00+00:00,long,3322.225,3317.195,3332.2849999999994,-1.0
2025-04-21,2025-04-21 07:55:00+00:00,short,3384.985,3388.435,3378.0850000000005,-1.0
2025-04-23,2025-04-23 07:45:00+00:00,long,3317.835,3310.985,3331.535,-1.0
2025-05-01,2025-05-01 09:50:00+00:00,long,3223.495,3219.605,3231.2749999999996,-1.0
2025-05-02,2025-05-02 07:45:00+00:00,short,3258.385,3262.185,3250.7850000000008,-1.0
2025-05-05,2025-05-05 08:35:00+00:00,short,3271.355,3273.565,3266.935,-1.0
2025-05-09,2025-05-09 07:20:00+00:00,short,3326.825,3330.915,3318.6449999999995,0.0
2025-05-13,2025-05-13 07:05:00+00:00,short,3259.845,3265.765,3248.0049999999997,2.0
2025-05-16,2025-05-16 07:30:00+00:00,long,3209.195,3205.255,3217.0750000000003,0.0
2025-05-20,2025-05-20 09:05:00+00:00,short,3232.275,3238.515,3219.7950000000005,-1.0
2025-05-21,2025-05-21 07:05:00+00:00,short,3315.775,3320.915,3305.4950000000003,2.0
2025-05-23,2025-05-23 08:30:00+00:00,short,3322.735,3326.885,3314.435,-1.0
2025-05-26,2025-05-26 08:50:00+00:00,long,3334.098,3330.198,3341.898,-1.0
2025-05-28,2025-05-28 10:40:00+00:00,short,3315.418,3318.748,3308.7580000000003,0.0
2025-05-29,2025-05-29 07:35:00+00:00,short,3276.935,3282.515,3265.775,-1.0
2025-05-30,2025-05-30 07:20:00+00:00,long,3294.365,3288.898,3305.298999999999,0.0
2025-06-03,2025-06-03 07:20:00+00:00,long,3357.648,3352.195,3368.554,0.0
2025-06-05,2025-06-05 09:35:00+00:00,short,3383.825,3390.825,3369.825,-1.0
2025-06-06,2025-06-06 08:00:00+00:00,long,3359.415,3353.945,3370.3549999999996,0.0
2025-06-09,2025-06-09 09:25:00+00:00,short,3316.659,3321.998,3305.981,-1.0
2025-06-10,2025-06-10 07:05:00+00:00,short,3326.335,3329.865,3319.2750000000005,-1.0
2025-06-11,2025-06-11 09:05:00+00:00,short,3340.758,3345.398,3331.477999999999,0.0
2025-06-12,2025-06-12 09:50:00+00:00,long,3364.865,3359.485,3375.624999999999,2.0
2025-06-16,2025-06-16 07:05:00+00:00,long,3418.775,3412.735,3430.855,-1.0
2025-06-19,2025-06-19 07:40:00+00:00,long,3365.555,3353.805,3389.055,0.0
2025-06-24,2025-06-24 07:35:00+00:00,long,3327.265,3320.548,3340.699,-1.0
2025-06-25,2025-06-25 07:50:00+00:00,short,3333.628,3337.848,3325.1880000000006,2.0
2025-06-26,2025-06-26 09:15:00+00:00,short,3340.805,3345.065,3332.2849999999994,2.0
2025-06-27,2025-06-27 08:50:00+00:00,long,3289.775,3286.525,3296.275,-1.0
2025-06-30,2025-06-30 08:40:00+00:00,short,3288.998,3293.365,3280.2640000000006,2.0
2025-07-01,2025-07-01 07:05:00+00:00,short,3331.448,3333.175,3327.9939999999992,-1.0
2025-07-02,2025-07-02 07:20:00+00:00,long,3329.785,3327.208,3334.9389999999994,2.0
2025-07-03,2025-07-03 07:10:00+00:00,short,3357.948,3361.548,3350.748,0.0
2025-07-04,2025-07-04 07:15:00+00:00,short,3338.799,3343.805,3328.7870000000003,-1.0
2025-07-07,2025-07-07 08:10:00+00:00,long,3305.248,3300.465,3314.814,0.0
2025-07-08,2025-07-08 07:15:00+00:00,short,3337.698,3340.148,3332.7979999999993,2.0
2025-07-09,2025-07-09 08:30:00+00:00,long,3285.685,3283.638,3289.779,-1.0
2025-07-10,2025-07-10 07:25:00+00:00,short,3325.935,3328.265,3321.275,2.0
2025-07-11,2025-07-11 08:10:00+00:00,short,3341.425,3344.088,3336.099,2.0
2025-07-14,2025-07-14 07:40:00+00:00,short,3371.395,3374.285,3365.6150000000002,2.0
2025-07-15,2025-07-15 07:55:00+00:00,short,3364.015,3365.955,3360.1349999999998,0.0
2025-07-16,2025-07-16 07:05:00+00:00,short,3338.055,3340.695,3332.774999999999,-1.0
2025-07-21,2025-07-21 07:10:00+00:00,short,3368.815,3370.855,3364.735,2.0
2025-07-22,2025-07-22 07:05:00+00:00,long,3385.025,3383.225,3388.6250000000005,-1.0
2025-07-24,2025-07-24 07:15:00+00:00,long,3377.065,3372.185,3386.8250000000003,-1.0
2025-07-29,2025-07-29 07:05:00+00:00,short,3317.815,3321.648,3310.149,0.0
2025-07-30,2025-07-30 10:05:00+00:00,short,3331.665,3334.505,3325.9849999999997,2.0
2025-07-31,2025-07-31 07:15:00+00:00,short,3299.848,3302.748,3294.048,-1.0
2025-08-01,2025-08-01 11:00:00+00:00,short,3298.345,3301.148,3292.738999999999,-1.0
2025-08-04,2025-08-04 07:05:00+00:00,short,3360.505,3363.415,3354.6850000000004,0.0
2025-08-05,2025-08-05 07:05:00+00:00,long,3367.715,3364.855,3373.4350000000004,2.0
2025-08-06,2025-08-06 07:35:00+00:00,long,3371.055,3368.915,3375.3349999999996,2.0
2025-08-07,2025-08-07 08:10:00+00:00,short,3383.975,3393.115,3365.695,0.0
2025-08-08,2025-08-08 08:00:00+00:00,short,3401.425,3404.585,3395.1050000000005,2.0
2025-08-12,2025-08-12 07:05:00+00:00,long,3346.815,3342.615,3355.2150000000006,2.0
2025-08-13,2025-08-13 08:05:00+00:00,short,3352.725,3356.498,3345.1789999999996,-1.0
2025-08-14,2025-08-14 09:20:00+00:00,long,3357.485,3353.475,3365.5050000000006,-1.0
2025-08-19,2025-08-19 07:20:00+00:00,short,3340.225,3342.395,3335.8849999999998,0.0
2025-08-20,2025-08-20 08:15:00+00:00,short,3322.749,3325.549,3317.1489999999994,-1.0
2025-08-21,2025-08-21 07:15:00+00:00,long,3338.585,3335.575,3344.6050000000005,0.0
2025-08-22,2025-08-22 08:00:00+00:00,long,3327.275,3325.005,3331.815,0.0
2025-08-25,2025-08-25 07:15:00+00:00,short,3367.648,3370.415,3362.1140000000005,2.0
2025-08-27,2025-08-27 07:25:00+00:00,long,3374.648,3372.695,3378.554,2.0
2025-08-28,2025-08-28 10:05:00+00:00,short,3395.985,3400.085,3387.7850000000003,-1.0
2025-08-29,2025-08-29 07:35:00+00:00,long,3406.865,3405.215,3410.164999999999,2.0
2025-09-02,2025-09-02 08:20:00+00:00,long,3476.915,3475.185,3480.375,2.0
2025-09-05,2025-09-05 08:25:00+00:00,long,3547.695,3544.515,3554.0550000000007,2.0
2025-09-10,2025-09-10 07:30:00+00:00,short,3643.505,3647.165,3636.1850000000004,-1.0
2025-09-16,2025-09-16 07:40:00+00:00,short,3688.185,3690.865,3682.8250000000003,-1.0
2025-09-17,2025-09-17 07:10:00+00:00,long,3674.725,3671.015,3682.145,-1.0
2025-09-18,2025-09-18 07:30:00+00:00,long,3649.105,3645.545,3656.225,2.0
2025-09-24,2025-09-24 07:55:00+00:00,short,3776.615,3778.715,3772.414999999999,0.0
2025-09-25,2025-09-25 07:45:00+00:00,short,3751.265,3752.685,3748.4249999999997,0.0
2025-09-26,2025-09-26 08:40:00+00:00,short,3752.805,3754.035,3750.345,0.0
2025-09-29,2025-09-29 07:30:00+00:00,short,3814.175,3816.075,3810.375000000001,2.0
2025-10-02,2025-10-02 07:25:00+00:00,short,3870.045,3875.225,3859.6850000000004,0.0
